iy,ix,dx,dy,comb_score,p_jitter,null_median,null_q95,null_q99,q_bh
9,10,0.65625,0.59375,2.0396441382237858,4.999750012499375e-05,0.9269104014957699,1.168648065399316,1.2910636464484777,4.999750012499375e-05
9,11,0.71875,0.59375,2.033968344649973,4.999750012499375e-05,0.9201625521527836,1.167795897603021,1.2967261448380234,4.999750012499375e-05
9,12,0.78125,0.59375,2.040603166023241,4.999750012499375e-05,0.9245988102496179,1.1705983189473803,1.2949622052593919,4.999750012499375e-05
9,13,0.84375,0.59375,2.042550263902252,4.999750012499375e-05,0.9266043147199978,1.1711003268012945,1.2856604598854704,4.999750012499375e-05
9,14,0.90625,0.59375,2.037072050335918,4.999750012499375e-05,0.9261440862369372,1.1702210825992305,1.2921568746192615,4.999750012499375e-05
9,15,0.96875,0.59375,2.0397014722944244,4.999750012499375e-05,0.9247798217135645,1.169861436357167,1.2903774691968641,4.999750012499375e-05
10,0,0.03125,0.65625,2.0499479665480305,4.999750012499375e-05,0.933057088250905,1.179267954327185,1.29688657574456,4.999750012499375e-05
10,1,0.09375,0.65625,2.050622900090961,4.999750012499375e-05,0.9320335890743756,1.177329361819708,1.3013328316355497,4.999750012499375e-05
10,2,0.15625,0.65625,2.0457508540580522,4.999750012499375e-05,0.9291998755126119,1.1736281972491522,1.2892375841200918,4.999750012499375e-05
10,3,0.21875,0.65625,2.0449974510391407,4.999750012499375e-05,0.9298454475900738,1.165909480711142,1.2799556730589823,4.999750012499375e-05
10,4,0.28125,0.65625,2.0448576575461606,4.999750012499375e-05,0.9277982232382402,1.1718958085055737,1.2919679922307907,4.999750012499375e-05
10,5,0.34375,0.65625,2.047213247796868,4.999750012499375e-05,0.9300460025334056,1.1763575665530517,1.2998293856891967,4.999750012499375e-05
10,6,0.40625,0.65625,2.0441285209474587,4.999750012499375e-05,0.9282215292428426,1.1747094206310125,1.2951836139475805,4.999750012499375e-05
10,7,0.46875,0.65625,2.042775249736151,4.999750012499375e-05,0.9262978348411821,1.1722361516663653,1.291277101570807,4.999750012499375e-05
10,8,0.53125,0.65625,2.0382357242262095,4.999750012499375e-05,0.9207760124270162,1.1669547848693937,1.288324727877496,4.999750012499375e-05
10,9,0.59375,0.65625,2.040077659827298,4.999750012499375e-05,0.9245596152809903,1.165781198509578,1.286798731656727,4.999750012499375e-05
10,10,0.65625,0.65625,2.0387942951607676,4.999750012499375e-05,0.9249678796208947,1.169494340481925,1.2884468702185796,4.999750012499375e-05
10,11,0.71875,0.65625,2.037046317416267,4.999750012499375e-05,0.9241847572853406,1.1680609508148614,1.2851504054074643,4.999750012499375e-05
