rule,q,iy,ix,dx,dy,count_comb_score,residual_comb_score
winding,16,5,9,0.59375,0.34375,2.0426759175971267,0.8681333779132195
winding,16,5,10,0.65625,0.34375,2.0364422830433466,0.8472863778247226
winding,16,5,11,0.71875,0.34375,2.0349403029917474,0.8178594951805406
winding,16,5,12,0.78125,0.34375,2.0382590065635666,0.8797042816544142
winding,16,5,13,0.84375,0.34375,2.040364791050758,0.8951570477584919
winding,16,5,14,0.90625,0.34375,2.03738016556902,0.883107961472879
winding,16,5,15,0.96875,0.34375,2.03793074142575,0.991963909853625
winding,16,6,0,0.03125,0.40625,2.0416268861017395,0.8884875003757835
winding,16,6,1,0.09375,0.40625,2.0410692363208613,0.9010149119083942
winding,16,6,2,0.15625,0.40625,2.037242584694889,0.8536664959324033
winding,16,6,3,0.21875,0.40625,2.0396867422923295,0.8553143726218967
winding,16,6,4,0.28125,0.40625,2.042034249645124,0.8803028573290949
winding,16,6,5,0.34375,0.40625,2.0444135858639974,0.809284673263856
winding,16,6,6,0.40625,0.40625,2.04334039252524,0.867828101578124
winding,16,6,7,0.46875,0.40625,2.0391856689956853,0.8097393725509866
winding,16,6,8,0.53125,0.40625,2.038352371695159,0.807547483685032
winding,16,6,9,0.59375,0.40625,2.044507769910017,0.8389360768269142
winding,16,6,10,0.65625,0.40625,2.0432609957894488,0.799044428301098
winding,16,6,11,0.71875,0.40625,2.037263782056066,0.8173956902894202
winding,16,6,12,0.78125,0.40625,2.0375290318133135,0.8466930559211515
winding,16,6,13,0.84375,0.40625,2.0379110819000266,0.8881449323663184
winding,16,6,14,0.90625,0.40625,2.0420719246963004,0.8918342362025627
winding,16,6,15,0.96875,0.40625,2.0394775577716744,0.8901957108119838
winding,16,7,0,0.03125,0.46875,2.04606877443223,0.8583446887401998
winding,16,7,1,0.09375,0.46875,2.0441648260394945,0.871076032915556
winding,16,7,2,0.15625,0.46875,2.0410427920219925,0.8298506394210804
winding,16,7,3,0.21875,0.46875,2.039525310996051,0.8514222119842136
winding,16,7,4,0.28125,0.46875,2.0406763951045566,0.914270736559486
winding,16,7,5,0.34375,0.46875,2.0421877316267394,0.9249196519235077
winding,16,7,6,0.40625,0.46875,2.043644886049838,0.8634031440161659
winding,16,7,7,0.46875,0.46875,2.0398578897252313,0.8232563362324128
winding,16,7,8,0.53125,0.46875,2.037513849783839,0.7968881966738337
winding,16,7,9,0.59375,0.46875,2.0407985603427643,0.8396699964083002
winding,16,7,10,0.65625,0.46875,2.044866362965401,0.8475548425948078
winding,16,7,11,0.71875,0.46875,2.034605228450308,0.8109385111328051
winding,16,7,12,0.78125,0.46875,2.0428758294316753,0.8296636940489148
winding,16,7,13,0.84375,0.46875,2.0411873483305043,0.8215524945885385
winding,16,7,14,0.90625,0.46875,2.0371235306345867,0.8936731408791592
winding,16,7,15,0.96875,0.46875,2.043412021408112,0.9159196315487419
winding,16,8,0,0.03125,0.53125,2.043296656936367,0.8584514144074299
winding,16,8,1,0.09375,0.53125,2.0454969619070145,0.8591217535360373
winding,16,8,2,0.15625,0.53125,2.0468691536788772,0.825985764516048
winding,16,8,3,0.21875,0.53125,2.0390337434657986,0.8123410244848616
winding,16,8,4,0.28125,0.53125,2.0412762945937635,0.8757851284089057
winding,16,8,5,0.34375,0.53125,2.043309801240913,0.895800823068548
winding,16,8,6,0.40625,0.53125,2.042223333448677,0.8600978205569838
winding,16,8,7,0.46875,0.53125,2.047751931914648,0.8595721268993698
winding,16,8,8,0.53125,0.53125,2.0449463592247836,0.7867237887691113
winding,16,8,9,0.59375,0.53125,2.0420147009698764,0.840398610418761
winding,16,8,10,0.65625,0.53125,2.04119957061568,0.8478047403722188
winding,16,8,11,0.71875,0.53125,2.0391674597528033,0.84848380797533
winding,16,8,12,0.78125,0.53125,2.0394676687423323,0.8283616532810143
winding,16,8,13,0.84375,0.53125,2.040986413139796,0.884685272627607
winding,16,8,14,0.90625,0.53125,2.038223944936608,0.8834167364214461
winding,16,8,15,0.96875,0.53125,2.0388420554455444,0.9175845131556007
winding,16,9,0,0.03125,0.59375,2.04807080224836,0.8620027473878543
winding,16,9,1,0.09375,0.59375,2.0482905278832573,0.8702435452548118
winding,16,9,2,0.15625,0.59375,2.0490314733624704,0.8144125553097243
winding,16,9,3,0.21875,0.59375,2.043937946558521,0.8573880312229276
winding,16,9,4,0.28125,0.59375,2.0414362982741308,0.9058520929998951
winding,16,9,5,0.34375,0.59375,2.0473358310750935,0.8979167035945556
winding,16,9,6,0.40625,0.59375,2.0483633545750872,0.8803413958490754
winding,16,9,7,0.46875,0.59375,2.048353251270037,0.8027112336084877
winding,16,9,8,0.53125,0.59375,2.041344081429233,0.8193748258054682
winding,16,9,9,0.59375,0.59375,2.0417278003819974,0.7956571633267457
winding,16,9,10,0.65625,0.59375,2.039713995050031,0.8167219602083037
winding,16,9,11,0.71875,0.59375,2.0340427484216863,0.8394494651988168
winding,16,9,12,0.78125,0.59375,2.040668306755484,0.884998049964989
winding,16,9,13,0.84375,0.59375,2.042611296530797,0.9756056791372738
winding,16,9,14,0.90625,0.59375,2.0371639875028493,0.9190400305884318
winding,16,9,15,0.96875,0.59375,2.039806730414417,0.9248491450544835
winding,16,10,0,0.03125,0.65625,2.050034103061893,0.9548264260457753
winding,16,10,1,0.09375,0.65625,2.0507165357007326,0.8561805419592416
winding,16,10,2,0.15625,0.65625,2.0458432777979607,0.8774105426457282
winding,16,10,3,0.21875,0.65625,2.0451070166204253,0.8809482361980313
winding,16,10,4,0.28125,0.65625,2.044963506278465,0.9566407690652038
winding,16,10,5,0.34375,0.65625,2.047304539988442,0.9771462408321324
winding,16,10,6,0.40625,0.65625,2.04422210717777,0.8907915696076575
winding,16,10,7,0.46875,0.65625,2.0428939808856708,0.8927906350778395
winding,16,10,8,0.53125,0.65625,2.03835593511346,0.8471273610000011
winding,16,10,9,0.59375,0.65625,2.040169065425022,0.7861684398560865
winding,16,10,10,0.65625,0.65625,2.0388647960814263,0.7749363907504061
winding,16,10,11,0.71875,0.65625,2.0371254626396085,0.8454439647392409
winding,16,10,12,0.78125,0.65625,2.042462903775227,0.8861997777102943
winding,16,10,13,0.84375,0.65625,2.0460129884404554,0.9030205120883265
winding,16,10,14,0.90625,0.65625,2.0427002205747438,0.9406845401555172
winding,16,10,15,0.96875,0.65625,2.041467507874485,0.9505551482965306
winding,16,11,0,0.03125,0.71875,2.0419422801509968,0.9749163071504379
winding,16,11,1,0.09375,0.71875,2.0460216430074083,0.9838396908926793
winding,16,11,2,0.15625,0.71875,2.0420795209116576,0.9345417280637793
winding,16,11,3,0.21875,0.71875,2.0435840404833545,0.909376706692659
winding,16,11,4,0.28125,0.71875,2.044737149157365,0.9173606868377098
winding,16,11,5,0.34375,0.71875,2.042289326856953,0.9175361047900057
winding,16,11,6,0.40625,0.71875,2.0413182899149356,0.9252841411383926
winding,16,11,7,0.46875,0.71875,2.043238120853705,0.9015316424048544
winding,16,11,8,0.53125,0.71875,2.0380220298985803,0.8430168284352743
winding,16,11,9,0.59375,0.71875,2.0360568791846503,0.7938147793980006
winding,16,11,10,0.65625,0.71875,2.037929705447415,0.7573263431494718
winding,16,11,11,0.71875,0.71875,2.0429199263735534,0.8485047965113445
winding,16,11,12,0.78125,0.71875,2.038616530212877,0.8716404475671035
winding,16,11,13,0.84375,0.71875,2.044527144293793,0.9460350139585462
winding,16,11,14,0.90625,0.71875,2.0495207059024727,0.9267006531379356
winding,16,11,15,0.96875,0.71875,2.0427951265107205,1.0113666898021483
winding,16,12,0,0.03125,0.78125,2.0423253232384586,1.046706122708953
winding,16,12,1,0.09375,0.78125,2.0423689360759227,0.9801265026212711
winding,16,12,2,0.15625,0.78125,2.045379114105955,0.9737924921061129
winding,16,12,3,0.21875,0.78125,2.0411194484041464,0.9691517314858705
winding,16,12,4,0.28125,0.78125,2.040873880982273,0.9027567896834844
winding,16,12,5,0.34375,0.78125,2.035880866428266,0.8937420506282211
winding,16,12,6,0.40625,0.78125,2.0356893353904635,0.8732630242270498
winding,16,12,7,0.46875,0.78125,2.042959065091701,0.8523611857278924
winding,16,12,8,0.53125,0.78125,2.03897001459339,0.7847756752777321
winding,16,12,9,0.59375,0.78125,2.0351894982347347,0.761310624843309
winding,16,12,10,0.65625,0.78125,2.0383749314821142,0.7540767765525375
winding,16,12,11,0.71875,0.78125,2.040394065830587,0.83842901160642
winding,16,12,12,0.78125,0.78125,2.0415883330057523,0.9022875309522363
winding,16,12,13,0.84375,0.78125,2.038978261083727,0.9162917357934406
winding,16,12,14,0.90625,0.78125,2.0444272745827567,1.013077400889518
winding,16,12,15,0.96875,0.78125,2.0448594357103196,1.0586396812259256
winding,16,13,0,0.03125,0.84375,2.0474071259027657,1.0828849459719898
winding,16,13,1,0.09375,0.84375,2.042584954276243,1.028461271431506
winding,16,13,2,0.15625,0.84375,2.0395881663504576,0.9619224802774657
winding,16,13,3,0.21875,0.84375,2.040430609336567,0.9861047477122794
winding,16,13,4,0.28125,0.84375,2.0389400317619564,0.9774600698357641
winding,16,13,5,0.34375,0.84375,2.03703584510234,0.898599714854836
winding,16,13,6,0.40625,0.84375,2.0416784777664936,0.874177544646181
winding,16,13,7,0.46875,0.84375,2.0394632342142223,0.8298767609989223
winding,16,13,8,0.53125,0.84375,2.0406825099446966,0.7843465310016332
winding,16,13,9,0.59375,0.84375,2.03830511680782,0.7896974623461211
winding,16,13,10,0.65625,0.84375,2.0396943296048073,0.8231595688185394
winding,16,13,11,0.71875,0.84375,2.04136979293571,0.805220793104546
winding,16,13,12,0.78125,0.84375,2.0366738889326346,0.8991869005157196
winding,16,13,13,0.84375,0.84375,2.0427394205665292,0.9514633045316893
winding,16,13,14,0.90625,0.84375,2.043019251347626,0.9879785930824491
winding,16,13,15,0.96875,0.84375,2.048054218268378,1.0368038992644875
winding,16,14,0,0.03125,0.90625,2.047666314605173,1.15209544873873
winding,16,14,1,0.09375,0.90625,2.0500411641579954,1.053053332197216
winding,16,14,2,0.15625,0.90625,2.0424272558119507,0.9967658908254746
winding,16,14,3,0.21875,0.90625,2.043887963631137,0.9349560308053756
winding,16,14,4,0.28125,0.90625,2.0402813888362488,0.9323620658664197
winding,16,14,5,0.34375,0.90625,2.0422855122093257,0.8764757435626535
winding,16,14,6,0.40625,0.90625,2.039923428314426,0.8917932944883539
winding,16,14,7,0.46875,0.90625,2.048285790227989,0.8719001981061937
winding,16,14,8,0.53125,0.90625,2.044819184745073,0.8530553141392389
winding,16,14,9,0.59375,0.90625,2.045101649150774,0.819933849487338
winding,16,14,10,0.65625,0.90625,2.0407677526289816,0.8237231370169892
winding,16,14,11,0.71875,0.90625,2.039306962870382,0.8025911488483045
winding,16,14,12,0.78125,0.90625,2.040007510990858,0.8286378039727399
winding,16,14,13,0.84375,0.90625,2.041481942039884,0.89238821739524
winding,16,14,14,0.90625,0.90625,2.045398351595117,0.9828272197909232
winding,16,14,15,0.96875,0.90625,2.049969816086002,1.095655678670511
winding,16,15,0,0.03125,0.96875,2.049748522341172,1.130901531305578
winding,16,15,1,0.09375,0.96875,2.0503891360968334,1.0456746481288062
winding,16,15,2,0.15625,0.96875,2.048755298684896,1.0243504246110613
winding,16,15,3,0.21875,0.96875,2.045661473911139,0.9774227343150783
winding,16,15,4,0.28125,0.96875,2.0464990567086114,0.9333758735642433
winding,16,15,5,0.34375,0.96875,2.04207560637614,0.9157507584036102
winding,16,15,6,0.40625,0.96875,2.0413217247420037,0.8986135919514222
winding,16,15,7,0.46875,0.96875,2.04112348414673,0.9017989399119649
winding,16,15,8,0.53125,0.96875,2.0462822908857032,0.8996528021543503
winding,16,15,9,0.59375,0.96875,2.0456206917190283,0.8725288619537492
winding,16,15,10,0.65625,0.96875,2.0417207701365894,0.8233994248808277
