iy,ix,dx,dy,residual_comb_score,p_jitter,null_median,null_q95,null_q99,q_bh
9,7,0.46875,0.59375,0.8023584139685339,0.4489275536223189,0.7976791298723502,0.8588392467619378,0.8849708406448974,0.4869722615564137
9,8,0.53125,0.59375,0.8192394186248629,0.2809859507024649,0.7957141829104992,0.8612921249514054,0.8898036852087433,0.3361327260739767
9,9,0.59375,0.59375,0.7957618185960317,0.2983350832458377,0.7749033108817713,0.8394975452842338,0.8645278123856465,0.34873872744718926
9,10,0.65625,0.59375,0.8165915979363226,0.28003599820009,0.79261069558179,0.8609918308004834,0.8898291057445076,0.3361327260739767
9,11,0.71875,0.59375,0.839207885573155,0.14829258537073145,0.7957659378308939,0.8643947342208306,0.8929982261628405,0.199804746604775
9,12,0.78125,0.59375,0.8853279871715882,0.02214889255537223,0.8076742099694776,0.8712391706460556,0.8980908374778666,0.04200086291981697
9,13,0.84375,0.59375,0.9757163857606909,4.999750012499375e-05,0.804480437231535,0.867811410019014,0.8958661017084278,0.00039998000099995
9,14,0.90625,0.59375,0.9193916498339637,0.0010499475026248687,0.7934428842061798,0.8585340016037154,0.8858002047856828,0.0036322508198914374
9,15,0.96875,0.59375,0.9246765355200129,0.00119994000299985,0.7925951678218851,0.8574504735742539,0.8864199187300122,0.003938264625230277
10,0,0.03125,0.65625,0.9547988932636008,0.0004999750012499375,0.8057470752030906,0.8771832744723886,0.9120452728643232,0.0020644129083868387
10,1,0.09375,0.65625,0.8555850997248603,0.08019599020048998,0.7988892098855536,0.8659398497454459,0.8946509987459479,0.12220341363884188
10,2,0.15625,0.65625,0.8766735637276842,0.029398530073496326,0.8045518062652866,0.8668119935225296,0.8936461866968166,0.053376054601525245
10,3,0.21875,0.65625,0.880341918281108,0.0087995600219989,0.7917663451672999,0.8532151936635439,0.8782597174282101,0.020113280050283202
10,4,0.28125,0.65625,0.955609440090517,0.00024998750062496874,0.7987089429701971,0.865812980274392,0.8947102345435521,0.0012307076953844615
10,5,0.34375,0.65625,0.9764670960311287,4.999750012499375e-05,0.8055066186910832,0.8745525797745265,0.9014076843255002,0.00039998000099995
10,6,0.40625,0.65625,0.8906587069113435,0.004499775011249437,0.7873875350313471,0.8529438946043624,0.8805936078554656,0.011999400029998499
10,7,0.46875,0.65625,0.892596551975018,0.012599370031498426,0.8044457191153342,0.8686527547850738,0.8957142765862033,0.026223079089947945
10,8,0.53125,0.65625,0.8468914143611528,0.10869456527173642,0.7998295813337989,0.8624736279235284,0.8896370021704205,0.15632476803126136
10,9,0.59375,0.65625,0.786203081184203,0.5353732313384331,0.7894601467124003,0.8517163800531844,0.8776229512951466,0.5594103968270974
10,10,0.65625,0.65625,0.7751835870138165,0.7452127393630319,0.7993097347142277,0.8617089435776382,0.8879141517327291,0.7510805562084101
10,11,0.71875,0.65625,0.8455540463877904,0.14589270536473176,0.8050950371002658,0.8677103647744386,0.8931172757511127,0.199804746604775
10,12,0.78125,0.65625,0.8864323888306272,0.02064896755162242,0.8063545054817436,0.870386668879689,0.897147143865087,0.03974538115199503
10,13,0.84375,0.65625,0.9035756335337538,0.0073996300184990755,0.7992355578290142,0.8679800181133297,0.8985011844743865,0.018041002711769175
10,14,0.90625,0.65625,0.9408595615511125,0.0010999450027498626,0.8028580913397885,0.8735396137551174,0.9055179089691304,0.0036569600091424003
10,15,0.96875,0.65625,0.9504192549703312,0.0006499675016249188,0.7953421948039165,0.8684645011910836,0.9031721003609816,0.00255987200639968
11,0,0.03125,0.71875,0.974702701384238,0.0010499475026248687,0.8146206595908125,0.8933511478639674,0.9310552307006557,0.0036322508198914374
11,1,0.09375,0.71875,0.9831809405702705,0.0006999650017499125,0.8143200300751363,0.8909577731854257,0.9308411701662356,0.0025969716006953277
11,2,0.15625,0.71875,0.9339239580864293,0.0017499125043747813,0.7925892303584601,0.8621766540968334,0.8982146312563274,0.005209041873487721
11,3,0.21875,0.71875,0.9083484699092589,0.0034498275086245686,0.7944922187421731,0.8599925086386261,0.8906657117720744,0.009496299378579457
11,4,0.28125,0.71875,0.916803178493779,0.0007999600019999,0.7903292223235705,0.8559401726599861,0.883387861102584,0.0028843628241123154
11,5,0.34375,0.71875,0.917329236513725,0.0006999650017499125,0.806325887085237,0.8669406607297785,0.8915175319402511,0.0025969716006953277
11,6,0.40625,0.71875,0.9255453513746148,0.0012999350032498376,0.8011842275367571,0.8702557230904313,0.8983279534705528,0.004212447605467828
11,7,0.46875,0.71875,0.9012165890670616,0.00814959252037398,0.7968131984786455,0.8657227963104519,0.897522002051939,0.0191990400479976
11,8,0.53125,0.71875,0.8429006169116477,0.18434078296085196,0.8086548647528214,0.8708436911270765,0.8984452181002182,0.2445141991605083
11,9,0.59375,0.71875,0.7940855555380638,0.45237738113094345,0.7893938034560837,0.8560443918903442,0.8833175724719259,0.488643922234268
