omega,direct_score,smooth_score
5.315000000000000835e-01,4.600076706387573044e-01,4.034268612985195124e-01
5.320000000000001394e-01,4.447389575502048165e-01,4.094682564628513433e-01
5.325000000000001954e-01,4.270979879391880729e-01,4.181438982808431959e-01
5.330000000000001403e-01,4.095536822834016100e-01,4.260106923003110779e-01
5.335000000000000853e-01,3.952433416193804616e-01,4.316499047532604827e-01
5.340000000000001412e-01,3.881450156212688518e-01,4.366997000757833480e-01
5.345000000000001972e-01,3.925939964744221133e-01,4.478973158881114358e-01
5.350000000000001421e-01,4.114899122379454544e-01,4.605631711297505926e-01
5.355000000000000870e-01,4.444507565207266309e-01,4.720702768809331706e-01
5.360000000000001430e-01,4.877552856386405677e-01,4.825439002655625420e-01
5.365000000000001990e-01,5.357191076985986511e-01,4.937978000601093709e-01
5.370000000000001439e-01,5.823162950934190896e-01,5.049813921269409311e-01
5.375000000000000888e-01,6.223367642613081285e-01,5.116070328031133707e-01
5.380000000000001448e-01,6.519130789464836484e-01,5.147701773135986425e-01
5.385000000000002007e-01,6.685882364840518566e-01,5.145400476927157740e-01
5.390000000000001457e-01,6.711417639583878714e-01,5.154861202330603964e-01
5.395000000000000906e-01,6.594015678950287951e-01,5.164810871662045555e-01
5.400000000000001465e-01,6.341587200970316696e-01,5.171976014029933122e-01
5.405000000000002025e-01,5.971629710187503770e-01,5.156660857375033880e-01
5.410000000000001474e-01,5.511536259089389045e-01,5.124494889320694302e-01
5.415000000000000924e-01,4.998946883465766322e-01,5.089759863604925716e-01
5.420000000000001483e-01,4.480355024479969472e-01,5.022643985800484545e-01
5.425000000000002043e-01,4.003295883595850979e-01,4.954676611301975231e-01
5.430000000000001492e-01,3.600931156088450491e-01,4.857828000494626153e-01
5.435000000000000941e-01,3.282719033362332395e-01,4.749794530071065890e-01
5.440000000000001501e-01,3.045967454222227588e-01,4.672552331198092657e-01
5.445000000000002061e-01,2.896965262612744008e-01,4.588054334071881013e-01
5.450000000000001510e-01,2.858108102910474901e-01,4.503209184661226550e-01
5.455000000000000959e-01,2.950689585845724383e-01,4.407391838323466149e-01
5.460000000000001519e-01,3.165470456392042164e-01,4.316370394465324223e-01
5.465000000000002078e-01,3.459119511683032555e-01,4.241945585205212366e-01
5.470000000000001528e-01,3.779241414656705489e-01,4.163759355696171061e-01
5.475000000000000977e-01,4.079938636954404396e-01,4.089132432813321616e-01
5.480000000000001537e-01,4.321921729034402526e-01,4.082124266308279070e-01
5.485000000000002096e-01,4.471255375430168155e-01,4.119495966667017228e-01
5.490000000000001545e-01,4.501889410283107518e-01,4.163537142298364135e-01
5.495000000000000995e-01,4.399047347199622204e-01,4.245190670157386603e-01
5.500000000000001554e-01,4.160341594359214246e-01,4.357631067727391061e-01
5.505000000000002114e-01,3.795060905896326942e-01,4.466656453413075378e-01
5.510000000000001563e-01,3.325222021286204921e-01,4.582717842773059713e-01
5.515000000000001013e-01,2.792604856262886903e-01,4.715800259708788356e-01
5.520000000000001572e-01,2.273662905938985124e-01,4.934304159049866523e-01
5.525000000000002132e-01,1.898278129246654955e-01,5.206136600782150792e-01
5.530000000000001581e-01,1.852636990489994195e-01,5.572426823625311609e-01
5.535000000000001030e-01,2.320307269042261034e-01,6.012258492905517837e-01
5.540000000000001590e-01,3.362451151720934339e-01,6.498697179174232064e-01
5.545000000000002149e-01,4.881580680620410395e-01,6.970090739231256105e-01
5.550000000000001599e-01,6.712177278962297988e-01,7.402657541130197583e-01
5.555000000000001048e-01,8.686584636891897526e-01,7.816732564655616278e-01
5.560000000000001608e-01,1.064490858936632867e+00,8.207521551180428920e-01
5.565000000000002167e-01,1.245851463782856383e+00,8.561527468832690335e-01
5.570000000000001616e-01,1.404857101956550114e+00,8.890383531182477483e-01
5.575000000000001066e-01,1.537568321550212946e+00,9.191418127123318627e-01
5.580000000000001625e-01,1.642281958084032656e+00,9.458855097820191293e-01
5.585000000000002185e-01,1.718420230096307622e+00,9.709279601437668106e-01
5.590000000000001634e-01,1.765934501559165426e+00,9.938620457560107813e-01
5.595000000000001084e-01,1.784964396494225225e+00,1.006745432317235789e+00
5.600000000000001643e-01,1.775622833880021734e+00,1.016990659407368547e+00
5.605000000000002203e-01,1.737880751881631713e+00,1.025585476258625395e+00
5.610000000000001652e-01,1.671575273288581798e+00,1.023587427365051816e+00
5.615000000000001101e-01,1.576581297874694254e+00,1.009868603753312888e+00
5.620000000000001661e-01,1.453197526060490574e+00,9.897485298486939920e-01
5.625000000000002220e-01,1.302835559111872543e+00,9.626675125555230750e-01
5.630000000000001670e-01,1.129157432167803510e+00,9.318709699906401189e-01
5.635000000000001119e-01,9.397413950305745223e-01,8.969843840390104850e-01
5.640000000000001679e-01,7.477200875830798399e-01,8.592584074647039438e-01
5.645000000000002238e-01,5.713252312343858330e-01,8.177639673225106653e-01
5.650000000000001688e-01,4.296018179188771380e-01,7.731432645543553361e-01
5.655000000000001137e-01,3.362251950034683690e-01,7.266014450974588312e-01
5.660000000000001696e-01,2.922841396707873129e-01,6.758966715605980724e-01
5.665000000000002256e-01,2.855241531615601014e-01,6.264661964723468035e-01
5.670000000000001705e-01,2.994770153571325588e-01,5.880412300536234094e-01
5.675000000000001155e-01,3.207599402533904409e-01,5.491503820458462082e-01
5.680000000000001714e-01,3.408970170876822192e-01,5.118501842255829271e-01
5.685000000000002274e-01,3.555644331487153864e-01,4.746095763902083431e-01
5.690000000000001723e-01,3.632317614387782778e-01,4.580013900001177474e-01
5.695000000000001172e-01,3.637863645582181116e-01,4.424514482371898483e-01
5.700000000000001732e-01,3.576915935941417102e-01,4.258933604454064326e-01
5.705000000000002292e-01,3.462664068484263002e-01,4.128235236128421914e-01
5.710000000000001741e-01,3.327172157878994785e-01,4.018168202144805079e-01
5.715000000000001190e-01,3.218235593430761599e-01,3.903070801593146455e-01
5.720000000000001750e-01,3.171477128115594568e-01,3.792036196379098834e-01
5.725000000000002309e-01,3.195338980554464081e-01,3.685114306013280716e-01
5.730000000000001759e-01,3.283774138961670364e-01,3.584449409372298945e-01
5.735000000000001208e-01,3.424556104939826540e-01,3.495095437247103254e-01
5.740000000000001767e-01,3.602023223476032987e-01,3.408528034990657707e-01
5.745000000000002327e-01,3.798248777174234592e-01,3.356205318303859819e-01
5.750000000000001776e-01,3.990646978365254283e-01,3.315973352565603216e-01
5.755000000000001226e-01,4.152198184597964969e-01,3.306391693462947812e-01
5.760000000000001785e-01,4.257431163868590218e-01,3.284370043125050542e-01
5.765000000000002345e-01,4.289954910151824174e-01,3.343264299699520992e-01
5.770000000000001794e-01,4.247750088184211181e-01,3.423450954598746265e-01
5.775000000000001243e-01,4.144592928708662471e-01,3.523868236622312855e-01
5.780000000000001803e-01,4.001719513954755669e-01,3.673389550341000231e-01
5.785000000000002363e-01,3.826642860386468281e-01,3.826531549758802053e-01
5.790000000000001812e-01,3.605124245275393435e-01,3.942844219697897445e-01
5.795000000000001261e-01,3.326665757750562613e-01,4.093001529441968600e-01
5.800000000000001821e-01,3.012660570736251930e-01,4.278079199843413671e-01
5.805000000000002380e-01,2.721383045163112691e-01,4.492993938886288285e-01
5.810000000000001830e-01,2.533710732087021134e-01,4.741973574173785622e-01
5.815000000000001279e-01,2.534381133227015526e-01,4.985408703136107178e-01
5.820000000000001839e-01,2.794056546369842464e-01,5.275585873538082282e-01
5.825000000000002398e-01,3.347249291582050645e-01,5.615987368896105947e-01
5.830000000000001847e-01,4.184994923371084252e-01,5.930601477944359434e-01
5.835000000000001297e-01,5.261215307582112199e-01,6.226672534532167180e-01
5.840000000000001856e-01,6.482716073747204488e-01,6.501928134215571031e-01
5.845000000000002416e-01,7.727426544597506552e-01,6.780929487937428224e-01
5.850000000000001865e-01,8.894406956980318579e-01,6.993062513177165096e-01
5.855000000000001315e-01,9.920734358299165834e-01,7.140474314480240725e-01
5.860000000000001874e-01,1.077078882849280550e+00,7.254087983954905505e-01
5.865000000000002434e-01,1.142430785566266538e+00,7.345437005626563876e-01
5.870000000000001883e-01,1.186943881162599190e+00,7.442081767004548043e-01
5.875000000000001332e-01,1.209911152346295093e+00,7.477717503054981396e-01
5.880000000000001892e-01,1.210894091032062025e+00,7.460979525936058954e-01
5.885000000000002451e-01,1.189600601223078424e+00,7.412546137187391304e-01
5.890000000000001901e-01,1.145869266750008775e+00,7.275429790483664005e-01
5.895000000000001350e-01,1.079815264556703180e+00,7.078091037672187280e-01
5.900000000000001910e-01,9.921950104118600899e-01,6.854121340666379236e-01
