n,gamma
10590,10379.5282396853660930266736899377702
10591,10380.5671964663392705982709309147075
10592,10381.8563428737409653970615062286370
10593,10382.4654285388585722653679138715146
10594,10382.9447140371372271100927039884049
10595,10383.4199410416259710457983392946156
10596,10384.7558887541250435584014617172820
10597,10385.2526745348188475390706657309531
10598,10386.2735108289942856239129939621777
10599,10387.0046666529047108521098476790262
10600,10388.1975849429517094659131706543479
10601,10389.1897741443190685468610793347167
10602,10389.8390785970730668662699802066036
10603,10390.7146531253162072615534377993035
10604,10391.2454524406670050900903522726783
10605,10392.6742816570636047104712595088821
10606,10393.1823593577306879465336603067955
10607,10393.9371827661245634666674714197459
10608,10394.9040746875805490835487485739174
10609,10395.3081097754498781254703809290713
10610,10395.9948349707680236294649797037652
10611,10397.6970151729817898007497332806983
10612,10398.5475129552470368154263328517083
10613,10399.3882723773271182015893711017864
10614,10399.8228381293659087221043366525668
10615,10401.2556660487006800222922751794813
10616,10401.4530584591210148929924274046576
10617,10402.1998985973968926763901574288865
10618,10403.0178854992583457937311374014977
10619,10404.3927290790138916084610109253224
10620,10404.8797625843343011252261489643611
10621,10405.8510339872737770426129745287819
10622,10406.6122035250953217574444971753954
10623,10407.6208763039384456963351619148633
10624,10408.6369011603103206511094979429458
10625,10409.4626829897415932038902823770942
10626,10410.2132278413357595346808568334657
10627,10411.1590079549555012600399500646043
10628,10411.6082523188475288277424314574139
10629,10412.5110732865165801692887231935337
10630,10413.1814606301973886517275335218738
10631,10414.1833918680147661580631839639175
10632,10414.9614334125959410852606799840427
10633,10416.6132805874975224364743827720395
10634,10417.3227578669095023650972416011920
10635,10417.6067376577607427960430854817960
10636,10418.6596571680208917850605806505650
10637,10419.1279409334614672380516398241745
10638,10420.3188118994842860623345001602255
10639,10421.4337665331485240810757409887029
10640,10421.8629776514757949750489414996418
10641,10422.4094336564495626398190724153996
10642,10423.5287385831138155996670800220143
10643,10424.7177619687774155136024332378423
10644,10425.1271825560413916178649849596964
10645,10426.5542127948265602213431238530843
10646,10427.3277969426609626817217212839245
10647,10428.0578942558156189251148355847556
10648,10428.8847835582039845945728257869132
10649,10429.5196156688088582915066523745767
10650,10430.1478320968442225601614409247506
10651,10430.9576439982068922920055544238670
10652,10431.9774944477992656118865088247452
10653,10433.2206625489109644578746471238750
10654,10433.9057954474770857540759227857465
10655,10434.8542080485487922127383194424147
10656,10435.5518980184857830425927102842223
10657,10436.5164685260802683013127751205002
10658,10437.3715295130327843781376931503222
10659,10437.8939281206496027493546783175762
10660,10438.9642631459164022078386863298513
10661,10439.9146536890560733699170827627251
10662,10440.5162162253899288530036319908468
10663,10441.1534355002406013425163886442950
10664,10441.7948161400026913111885720644731
10665,10443.5144830059256068158053618531396
10666,10444.5099204108213898572145044410726
10667,10444.8784753742391376040859152078620
10668,10445.9580332096622265203935550550159
10669,10446.4905234465272366630819185794184
10670,10447.1460609360392485795801822917876
10671,10448.3700340223696902023797320369218
10672,10448.6841085325906936376641730919679
10673,10449.9545353497303932553983809289651
10674,10450.6765169316736393563812728117501
10675,10451.5945224190112156422970400501723
10676,10452.8446526680409205487664836600047
10677,10453.5028546641285827393867022401673
10678,10453.7631148022158944762639636402224
10679,10455.3907373134749471844869717185188
10680,10456.1514829203509409357464697331545
10681,10456.8408503789651257161669222685485
10682,10457.2312154035263372568471541538216
10683,10458.0927979414391333404161627596615
10684,10459.1417842001095218627595439406852
10685,10459.7583723506705993089139006675494
10686,10461.3117933105303371961994888690923
10687,10461.8188176271812672429132741705594
10688,10463.2156868327778055362981563841460
10689,10463.5868430267110385479743273748338
10690,10464.1597573404578614446823140801151
10691,10465.0139912444848452352041489661629
10692,10465.9611994409047485481918809893065
10693,10466.9038635943294067532262157033367
10694,10467.6468642904787434796544036243254
10695,10468.7102198887413240766759568609085
10696,10469.0046144921246354385158388431790
10697,10470.2291300041473586985945752612627
10698,10471.2561312354708669534160178659304
10699,10472.4135970672992340072482799744600
10700,10472.8977095251945629585703284518285
10701,10473.6636167709081531180143202690094
10702,10474.5207442620284779936981741388900
10703,10475.4240745159384115704216560950264
10704,10476.0133513964665387262379327394435
10705,10476.5605691567661727103881752745507
10706,10477.5810478319200287914658693417212
10707,10479.1949519601628619672116082226257
10708,10479.8496581500696662302254070879786
10709,10480.4615974294628645753813967206023
10710,10481.2583846923269581804634836375003
10711,10482.1768188802891930805253572879480
10712,10483.0049039937891742011981153734970
10713,10483.7666639454121704895249248498635
10714,10484.9287523609772062614593091148928
10715,10485.2550872280384426950956229581995
10716,10486.1081309374147257729796231982546
10717,10487.0319645271354110632873514062603
10718,10487.9630824571477272685026110943647
10719,10489.0045710190507574123021657565181
10720,10490.0677565937944114895385192594991
10721,10491.0097903088583065816855348997902
10722,10491.4467723985316622215466757810156
10723,10492.4275042659703454665573958190823
10724,10492.8869088478578106886076039595764
10725,10493.4229483589500621824732233263743
10726,10495.1865347437970287638681342105586
10727,10495.4434959397068925708053609995271
10728,10496.2465561566572332889626100528489
10729,10497.6875933382012085556043304442215
10730,10498.3341054994585429242068463523475
10731,10499.2018114062213385833670329885221
10732,10499.8023114275464349214931701654841
10733,10500.8082625512489830820084769118630
10734,10501.8386027983692441552424902164599
10735,10502.4912734397982096519188824893344
10736,10503.2072883125677967122180049222150
10737,10503.8869558084986346432283023279779
10738,10504.5500819397547142837841269447691
10739,10505.6489397102295272433963728036244
10740,10507.1199707190620332480414957261303
10741,10507.9491388718215092986411775464252
10742,10508.5231382517108103403571803176081
10743,10509.0145179743334718854687560573770
10744,10510.2292116757514524124106627805341
10745,10510.8331799511565331264992305669093
10746,10511.5617113407420421237776352994653
10747,10512.4548235113442308714081042030633
10748,10513.3433445683167157879131330688109
10749,10514.4430238587569064783473269332466
10750,10515.0841804615099435182911299708217
10751,10515.8641736625366868843097220878915
10752,10516.9496117663429673800549091616189
10753,10517.9219544279788471504739559531598
10754,10518.8985604438140520789650996263513
10755,10519.4751149464150026017898190145275
10756,10519.9322095365395131224043040453397
10757,10521.1453210251304706812682672394430
10758,10521.6562919266154957887318097763445
10759,10522.3166412036574919630847524598297
10760,10523.5502032392768165926224900093282
10761,10524.7520336628518645752474346982816
10762,10525.4353919043320212717640719472862
10763,10526.5904931065197131669790480598710
10764,10527.0421150790581411865568161976000
10765,10527.6455094786553549230148096390498
10766,10528.4047736649526242744468775480852
10767,10529.9258195585730394897718196094342
10768,10530.2211766726488214749432203271380
10769,10531.4067983965872406465545107248581
10770,10531.5613988691129375648297812024754
10771,10532.5996586842297934534399969826809
10772,10534.0649332405554553545310922767747
10773,10534.7842630039486365580151987526937
10774,10535.4901705663059489033181709319496
