loop,t_near,u_near,distance,a,b,abs_a,abs_b,a_zero,b_zero,a_even,b_even,a_even_nonzero,b_even_nonzero,a_prime,b_prime,norm,norm_prime,theta_mod_2pi,arg_zeta_mod_2pi,theta_mod_pi,arg_zeta_mod_pi
71,185.16425584856765,0.4,0.7701689236598149,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.35304526483931653,5.930140042340279,0.35304526483931653,2.7885473887504855
72,186.76702602428986,0.7166666666666667,0.10063684943414719,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.0678819514147264,0.07371070217507539,3.0678819514147264,0.07371070217507539
73,189.1245160056237,0.8666666666666667,0.04550683267996334,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,0.7903888127531218,5.492796494426473,0.7903888127531218,2.35120384083668
74,189.85122055275238,0.16666666666666666,0.06412968746258009,1,2,1,2,False,False,False,True,False,True,False,True,5,True,2.028128770903578,1.113463882686224,2.028128770903578,1.113463882686224
75,192.4303510886242,0.3833333333333333,0.32590164847427144,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.1489693552731879,6.134215951906407,0.1489693552731879,2.992623298316614
76,193.66258371859672,0.26666666666666666,0.1724145827682238,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.2591991816175963,0.882393471972206,2.2591991816175963,0.882393471972206
77,195.99041132669555,0.45,0.26248594223627275,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.256341407102219,0.02684390007737612,3.1147487535124263,0.02684390007737612
78,197.69258302239047,0.7166666666666667,0.3526488372061949,1,0,1,0,False,True,False,True,False,False,False,False,1,False,2.9047362516920003,0.2368564018978022,2.9047362516920003,0.2368564018978022
79,200.18167473826102,0.6666666666666666,0.02869228686146126,3,-4,3,4,False,False,False,True,False,True,True,False,25,False,0.9215865619975929,5.361598745182003,0.9215865619975929,2.22000609159221
80,201.59250313738764,0.26666666666666666,0.28826076105194653,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.365750015659124,6.059027945110265,0.2241573620693309,2.917435291520472
81,203.25682351903458,0.45,0.20931818303850883,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.255415364015583,0.02776994316401285,3.11382271042579,0.02776994316401285
82,204.99295389351974,0.6666666666666666,0.28162094067847715,1,0,1,0,False,True,False,True,False,False,False,False,1,False,2.993835567243309,0.147757086346494,2.993835567243309,0.147757086346494
83,205.9805704670725,0.23333333333333334,0.05143798158766938,0,2,0,2,True,False,True,True,False,True,False,True,4,False,4.7159932505620645,1.5671920566175317,1.5744005969722714,1.5671920566175317
84,208.24040259208292,0.2,0.09062095462370284,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.3822819770508445,0.7593106765389587,2.3822819770508445,0.7593106765389587
85,210.21075565807212,0.3,0.05901761139475985,2,1,2,1,False,False,True,False,True,False,True,False,5,True,5.835849132051784,0.44733617512781226,2.694256478461991,0.44733617512781226
86,212.68501540006906,0.6,0.15151990895982026,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,3.9025298058776485,5.5222481548917415,0.7609371522878554,2.3806555013019484
87,214.00743497583363,0.55,0.2775000004317554,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.233318596851703,0.04986671032789391,3.0917259432619097,0.04986671032789391
88,214.95280805689305,0.25,0.06622686078715893,0,1,0,1,True,False,True,False,False,False,False,False,1,False,1.6188766775779797,1.522715976011824,1.6188766775779797,1.522715976011824
89,218.48796480591153,0.8,0.11348723256486191,0,-3,0,3,True,False,True,False,False,False,False,True,9,False,1.594189599363716,4.688995707815881,1.594189599363716,1.5474030542260877
90,219.36965459816437,0.18333333333333332,0.019418025335575354,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.1595716320331064,6.265206328736284,0.01797897844331331,3.1236136751464905
91,221.0847023665966,0.5166666666666666,0.7124210473016295,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.209594738781362,0.07359056839823488,3.0680020851915693,0.07359056839823488
92,222.289404781621,0.3333333333333333,0.11067726314600726,1,2,1,2,False,False,False,True,False,True,False,True,5,True,2.072820239670314,1.0687724139194903,2.072820239670314,1.0687724139194903
93,224.57639228779354,0.5833333333333334,0.314950286426544,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.156498145901828,0.12668716127776905,3.0149054923120353,0.12668716127776905
94,225.51119640369288,0.21666666666666667,0.062308367075641774,0,2,0,2,True,False,True,True,False,True,False,True,4,False,1.5458720360950764,1.595720617494728,1.5458720360950764,1.595720617494728
95,227.7090654133625,0.15,0.05091329323493316,1,1,1,1,False,False,False,False,False,False,False,False,2,True,5.48593604820114,0.7972492589784581,2.3443433946113466,0.7972492589784581
96,230.74027455331637,0.7333333333333333,0.05867146933960491,0,-1,0,1,True,False,True,False,False,False,False,False,1,False,4.654103733734665,4.770674227034726,1.512511080144872,1.6290815734449327
97,231.61875703691584,0.5,0.7153134694382566,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.23770724827866,0.045478058900937805,3.096114594688867,0.045478058900937805
98,232.49892763387282,0.3,0.03524014679722584,0,1,0,1,True,False,True,False,False,False,False,False,1,False,1.5428393064145212,1.598753347175284,1.5428393064145212,1.598753347175284
99,234.92013426755142,0.43333333333333335,0.09868333744930079,5,2,5,2,False,False,False,True,False,True,True,True,29,True,5.920619052734651,0.3625662544449475,2.7790263991448576,0.3625662544449475
100,236.8564257578284,0.26666666666666666,0.02104976481899465,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.1474245359513375,6.277353424818054,0.005831882361544416,3.135760771228261
101,239.0198788535549,0.7,0.01594936705118255,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,0.795373618110105,5.487811689069494,0.795373618110105,2.3462190354797006
102,240.302309036364,0.5,0.31483459736710895,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.1302601597696054,0.011332493820200119,3.1302601597696054,0.011332493820200119
103,241.58130169403555,0.3,0.05020927599789829,1,1,1,1,False,False,False,False,False,False,False,False,2,True,5.46229637771269,0.820888929466909,2.3207037241228967,0.820888929466909
